日期,開盤,最高,最低,收盤,漲跌,RSV,%K,%D,state,days,y,DI,EMA12,EMA26,DIF,MACD,mstate,mdays
2019/3/29,78.7,79.15,78.25,79.15,0.65,0.84,73.14362645,77.73857147,0,5,0.7,78.925,78.28493837,77.58851556,0.696422817,0.665878041,1,11
2019/3/28,78.3,78.6,78.15,78.5,0,0.514285714,67.71543968,80.03604398,0,4,0.65,78.4375,78.16856353,77.4815968,0.686966732,0.658241847,1,10
2019/3/27,78.45,78.7,78.2,78.5,-0.15,0.630434783,75.85887381,86.19634613,0,3,0,78.475,78.11966599,77.40512455,0.714541448,0.651060626,1,9
2019/3/26,78.5,78.7,78.4,78.65,0.5,0.695652174,82.26657158,91.36508229,0,2,-0.15,78.6,78.05505981,77.31953451,0.735525302,0.635190421,1,8
2019/3/25,78.1,78.35,78,78.15,-1.2,0.47826087,88.61724867,95.91433764,0,1,0.5,78.1625,77.95597978,77.21709727,0.738882507,0.610106701,1,7
2019/3/22,79.5,79.7,79.05,79.35,0.2,1.066666667,109.0128295,99.56288212,1,8,-1.2,79.3625,77.91843065,77.14146505,0.776965594,0.577912749,1,6
2019/3/21,78.8,79.15,78.65,79.15,0.65,1.26,110.185911,94.83790841,1,7,0.2,79.025,77.65587258,76.96378226,0.692090325,0.528149538,1,5
2019/3/20,78.35,78.55,78.2,78.5,0.1,1.041666667,102.2788664,87.16390714,1,6,0.65,78.4375,77.40694032,76.79888484,0.608055486,0.487164341,1,4
2019/3/19,78.1,78.4,77.85,78.4,0.3,1.142857143,101.3349663,79.60642749,1,5,0.1,78.2625,77.21956584,76.66779562,0.551770213,0.456941555,1,3
2019/3/18,77.75,78.1,77.65,78.1,0.5,1.3125,94.85959236,68.74215806,1,4,0.3,77.9875,77.02994144,76.54021927,0.489722169,0.433234391,1,2
2019/3/15,77.35,77.7,77.15,77.6,0.55,1.28,76.66438855,55.68344091,1,3,0.5,77.5125,76.85583989,76.42443682,0.431403072,0.419112446,1,1
2019/3/14,77.3,77.4,76.95,77.05,-0.05,0.636363636,50.99658282,45.19296709,1,2,0.55,77.1125,76.73644714,76.33739176,0.399055379,0.41603979,0,5
2019/3/13,77.05,77.2,76.8,77.1,-0.15,0.647058824,44.67669241,42.29115923,1,1,-0.05,77.05,76.66807389,76.2753831,0.39269079,0.420285892,0,4
2019/3/12,76.85,77.45,76.8,77.25,1.1,0.735294118,34.66209744,41.09839263,0,7,-0.15,77.1875,76.59863278,76.21341375,0.385219032,0.427184668,0,3
2019/3/11,75.85,76.15,75.7,76.15,0.15,0.088235294,15.22844027,44.31654023,0,6,1.1,76.0375,76.49156601,76.13548685,0.356079165,0.437676077,0,2
2019/3/8,76.2,76.35,75.8,76,-0.65,-0.619047619,18.4308957,58.86059021,0,5,0.15,76.0375,76.57412347,76.1433258,0.430797674,0.458075305,0,1
2019/3/7,76.9,77.05,76.6,76.65,-0.3,0.222222222,58.59872451,79.07543747,0,4,-0.65,76.7375,76.67169137,76.15179186,0.519899514,0.464894712,1,21
2019/3/6,76.85,77.05,76.75,76.95,0.2,0.659090909,76.78697565,89.31379395,0,3,-0.3,76.925,76.65972617,76.10493521,0.55479096,0.451143512,1,20
2019/3/5,76.6,76.9,76.45,76.75,-0.2,0.568181818,82.22591802,95.57720309,0,2,0.2,76.7125,76.61149456,76.03933003,0.572164538,0.42523165,1,19
2019/3/4,77.55,77.55,76.7,76.95,-0.7,0.716981132,94.92978612,102.2528456,0,1,-0.2,77.0375,76.59312994,75.98547643,0.607653512,0.388498428,1,18
2019/2/27,77.7,77.7,77.35,77.65,-0.05,0.981132075,106.5456226,105.9143754,1,13,-0.7,77.5875,76.51233538,75.90131454,0.611020841,0.333709657,1,17
2019/2/26,77.65,77.8,77.3,77.7,0.2,1.081632653,110.7618301,105.5987518,1,12,-0.05,77.625,76.31685091,75.76641971,0.550431202,0.264381861,1,16
2019/2/25,77.35,77.75,77.3,77.5,0.55,1.195121951,112.0611125,103.0172126,1,11,0.2,77.5125,76.07900562,75.61773328,0.461272336,0.192869526,1,15
2019/2/22,76.95,76.95,76.5,76.95,-0.15,0.926829268,108.3355712,98.49526273,1,10,0.55,76.8375,75.81837028,75.46615195,0.352218331,0.125768823,1,14
2019/2/21,76.4,77.1,76.4,77.1,0.75,1.375,116.1618933,93.57510851,1,9,-0.15,76.925,75.63307396,75.3564441,0.276629863,0.069156446,1,13
2019/2/20,75.9,76.5,75.9,76.35,0.85,1.538461538,105.49284,82.2817161,1,8,0.75,76.275,75.39817832,75.23095963,0.167218692,0.017288092,1,12
2019/2/19,75.7,75.7,75.5,75.5,-0.15,0.884615385,81.31618306,70.67615415,1,7,0.85,75.55,75.2387562,75.1474364,0.091319798,-0.020194558,1,11
2019/2/18,75.5,75.9,75.5,75.65,0.6,1,77.74350536,65.3561397,1,6,-0.15,75.675,75.18216642,75.11523131,0.066935104,-0.048073147,1,10
