date,open,high,low,price,difference,difference%,volume,total,y
2019/10/22,292.5,294,291.5,294,4,0.0138,26005,7614756,-1
2019/10/21,291,291,288.5,290,-3,-0.0102,34634,10034280,4
2019/10/18,293,295.5,291,293,-0.5,-0.0017,45103,13195196,-3
2019/10/17,295,295.5,292,293.5,-3,-0.0101,40272,11812539,-0.5
2019/10/16,298,298,293.5,296.5,3,0.0102,40297,11898109,-3
2019/10/15,293.5,296,292,293.5,3.5,0.0121,38019,11174402,3
2019/10/14,291.5,291.5,288.5,290,8,0.0284,46684,13555817,3.5
2019/10/9,283.5,286,282,282,-4.5,-0.0157,34551,9792883,8
2019/10/8,283.5,286.5,282.5,286.5,8.5,0.0306,35279,10033039,-4.5
2019/10/7,279,279.5,277.5,278,1.5,0.0054,17510,4877477,8.5
2019/10/4,279.5,280,275,276.5,0,0,35170,9746530,1.5
2019/10/3,274,277.5,274,276.5,-3,-0.0107,31891,8791642,0
2019/10/2,280,281,279,279.5,-0.5,-0.0018,29296,8195941,-3
2019/10/1,273,280.5,273,280,8,0.0294,71744,19912137,-0.5
2019/9/27,271.5,272.5,271,272,4,0.0149,41236,11203993,8
2019/9/26,269,269.5,266.5,268,2,0.0075,29940,8018438,4
2019/9/25,262.5,266,262,266,1,0.0038,21003,5552277,2
2019/9/24,263.5,265.5,262,265,1,0.0038,24245,6403612,1
2019/9/23,264,264,263,264,0,0,13093,3451984,1
2019/9/20,266,266.5,264,264,-1,-0.0038,43869,11604567,0
2019/9/19,268,268,264,265,-2,-0.0075,25234,6702941,-1
2019/9/18,267,269.5,266.5,267,2,0.0075,47685,12769334,-2
2019/9/17,266.5,266.5,264.5,265,-0.5,-0.0019,27601,7324415,2
2019/9/16,262,265.5,261.5,265.5,3,0.0114,32574,8586463,-0.5
2019/9/12,265,265,261.5,262.5,-0.5,-0.0019,26017,6839855,3
2019/9/11,264,264.5,260.5,263,1.5,0.0057,36138,9475273,-0.5
2019/9/10,263.5,264,260.5,261.5,-3.5,-0.0132,29309,7676164,1.5
2019/9/9,265.5,266,263.5,265,1.5,0.0057,17236,4563833,-3.5
2019/9/6,265,265,263,263.5,0.5,0.0019,25409,6700032,1.5
2019/9/5,263,263,260.5,263,5.5,0.0214,48792,12803786,0.5
2019/9/4,254,258,254,257.5,3.5,0.0138,22474,5766983,5.5
2019/9/3,256.5,258,253,254,-3.5,-0.0136,25762,6561425,3.5
2019/9/2,258,258,256,257.5,-1.5,-0.0058,14615,3758788,-3.5
2019/8/30,256.5,259,256,259,5,0.0197,35184,9060398,-1.5
2019/8/29,253,254,251,254,2,0.0079,19588,4951639,5
2019/8/28,250.5,253,250.5,252,2,0.008,15133,3814770,2
2019/8/27,250.5,251,248.5,250,1.5,0.006,50235,12552183,2
2019/8/26,249,250.5,248.5,248.5,-5.5,-0.0217,31679,7895777,1.5
2019/8/23,253.5,254.5,253,254,0,0,14167,3594314,-5.5
2019/8/22,257,257.5,254,254,-0.5,-0.002,21865,5590052,0
2019/8/21,254.5,255,253,254.5,0,0,20269,5152545,-0.5
2019/8/20,254,254.5,252.5,254.5,2.5,0.0099,19960,5065518,0
2019/8/19,251.5,253,250.5,252,2,0.008,24061,6065080,2.5
2019/8/16,249.5,252,248,250,2,0.0081,25371,6339287,2
2019/8/15,247,248.5,246,248,-1.5,-0.006,27624,6832862,2
2019/8/14,252.5,254,249.5,249.5,3,0.0122,35217,8860159,-1.5
2019/8/13,249,249.5,246.5,246.5,-4.5,-0.0179,23121,5727512,3
2019/8/12,254.5,254.5,251,251,-2.5,-0.0099,21795,5499860,-4.5
2019/8/8,248,254,248,253.5,5.5,0.0222,29662,7477948,-2.5
2019/8/7,250,250.5,246.5,248,-0.5,-0.002,29435,7305273,5.5
2019/8/6,240,250,240,248.5,2,0.0081,58626,14369440,-0.5
2019/8/5,251,252,245.5,246.5,-5,-0.0199,51536,12768054,2
2019/8/2,252,253.5,250.5,251.5,-5,-0.0195,54022,13590841,-5
2019/8/1,257.5,257.5,255.5,256.5,-3,-0.0116,30018,7698948,-5
2019/7/31,260,260,257,259.5,-0.5,-0.0019,31636,8192002,-3
2019/7/30,262.5,263,260,260,-1,-0.0038,22671,5916634,-0.5
2019/7/29,260,262,259.5,261,0,0,17509,4570953,-1
2019/7/26,261,262.5,261,261,-4,-0.0151,20438,5347705,0
2019/7/25,264,265,261.5,265,0,0,30434,8022095,-4
2019/7/24,266.5,266.5,263,265,1,0.0038,23687,6266711,0
2019/7/23,265.5,266.5,262.5,264,0,0,29273,7734089,1
2019/7/22,263,264,262,264,5,0.0193,31523,8295358,0
2019/7/19,259.5,261,259,259,5,0.0197,59710,15529255,5
2019/7/18,252,254.5,251.5,254,2,0.0079,20843,5283327,5
2019/7/17,254,254,251,252,-4,-0.0156,25500,6449802,2
2019/7/16,254,256.5,253.5,256,1.5,0.0059,21361,5456740,-4
2019/7/15,251,254.5,249.5,254.5,4,0.016,29727,7514184,1.5
2019/7/12,252,252,249.5,250.5,0.5,0.002,23479,5887439,4
2019/7/11,250,250,247.5,250,3,0.0121,31160,7775418,0.5
2019/7/10,243,247,243,247,5,0.0207,23812,5839691,3
2019/7/9,241.5,243,240.5,242,-0.5,-0.0021,16419,3969088,5
2019/7/8,240,244.5,240,242.5,-0.5,-0.0021,27788,6718720,-0.5
2019/7/5,244.5,245,241.5,243,-1,-0.0041,22867,5546309,-0.5
2019/7/4,244.5,245,242.5,244,1.5,0.0062,17481,4266245,-1
2019/7/3,244,245,242,242.5,-6.5,-0.0261,29450,7166458,1.5
2019/7/2,249.5,250,247.5,249,0.5,0.002,24181,6013677,-6.5
2019/7/1,245.5,250,245,248.5,9.5,0.0397,66308,16429520,0.5
2019/6/28,241.5,241.5,238,239,-1.5,-0.0062,25855,6182438,9.5
2019/6/27,236,241.5,236,240.5,6,0.0256,42008,10063332,-1.5
2019/6/26,235,236.5,234,234.5,-4,-0.0168,27607,6484866,6
2019/6/25,241,241.5,237,238.5,-2.5,-0.0104,28467,6813324,-4
2019/6/24,241,242,240,241,-7.5,-0.0302,43301,10438327,-2.5
2019/6/21,248,248.5,246,248.5,3.5,0.0143,61164,15157113,-7.5
2019/6/20,242,245.5,241,245,1,0.0041,37836,9238385,3.5
2019/6/19,242.5,244,240.5,244,8.5,0.0361,50164,12166979,1
2019/6/18,234,235.5,233,235.5,2.5,0.0107,28578,6706817,8.5
2019/6/17,231.5,235,230.5,233,-3,-0.0127,51017,11885588,2.5
2019/6/14,238.5,239.5,236,236,-4,-0.0167,31952,7576245,-3
2019/6/13,242.5,244,240,240,-6,-0.0244,32982,7955700,-4
2019/6/12,244.5,247.5,243,246,1.5,0.0061,29676,7289645,-6
2019/6/11,240,246,239,244.5,4.5,0.0188,31966,7783236,1.5
2019/6/10,237.5,240,234.5,240,8,0.0345,35374,8407948,4.5
2019/6/6,231.5,232,229.5,232,-3,-0.0128,34586,7993484,8
2019/6/5,238,238,234,235,2,0.0086,29140,6867931,-3
2019/6/4,237.5,238,233,233,-5,-0.021,24443,5745046,2
2019/6/3,235.5,238.5,232,238,2.5,0.0106,30998,7312471,-5
2019/5/31,232,237.5,231,235.5,4.5,0.0195,46070,10832920,2.5
2019/5/30,230,231.5,229,231,1.5,0.0065,28500,6559989,4.5
2019/5/29,228,230.5,227,229.5,-1,-0.0043,26533,6072241,1.5
2019/5/28,232,232,230.5,230.5,-0.5,-0.0022,95240,21969865,-1
2019/5/27,234,235,231,231,-2,-0.0086,35562,8258683,-0.5
2019/5/24,230,234,230,233,3,0.013,36001,8351234,-2
2019/5/23,233.5,233.5,230,230,-8,-0.0336,58753,13571186,3
2019/5/22,236.5,240.5,235.5,238,4,0.0171,34622,8269674,-8
2019/5/21,233.5,236,232.5,234,-4,-0.0168,80043,18753959,4
2019/5/20,242.5,243,238,238,-3.5,-0.0145,39158,9392969,-4
